day,date,week,phase,platform_primary,platform_adaptations,format,content_pillar,objective,funnel_stage,topic,narrative_angle,hook,on_screen_text,visual_concept,caption,cta,hashtags,dimensions,duration,assets_required,visual_prompt,motion_prompt,master_file,export_file,destination_folder,status,approval,publication_time,notes
27,2026-08-22,4,Fase 1: Posicionamiento · Problema · Educación,Instagram,Facebook,Post gráfico,Cultura StreetBoss,"Construir marca, comunidad y pertenencia.",TOFU (Atención),Recupera el control,Mensaje nuclear #3.,Recupera el control de tus clientes y de tus márgenes,Recupera el control,[T10-culture] Recupera el control,"Recupera el control de tus clientes y de tus márgenes

Mensaje nuclear #3.

StreetBoss existe para que tu restaurante venda bajo sus propias reglas.

Síguenos para vender directo y mandar tú.

#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida",Síguenos para vender directo y mandar tú.,#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre Recupera el control. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/brand/T10-culture.md,day-27_recupera-el-control_culture.png,06-posts/month-01/,PENDIENTE,NO APROBADO,11:00,Adaptar hook/duración por plataforma: Facebook.
28,2026-08-23,4,Fase 1: Posicionamiento · Problema · Educación,Instagram,"Facebook, LinkedIn",Post gráfico,Precio fundador,Convertir: activar cupo fundador y resolver objeciones.,BOFU (Conversión),¿Comisión por venta? Cero,"Objeción FAQ: modelo de renta fija, no comisión.",0% de comisión. Solo tu renta fija mensual.,0% comisión,[T13-founder-price] 0% comisión,"0% de comisión. Solo tu renta fija mensual.

Se buscan restaurantes y negocios de comida que quieran probar su escaparate digital con precio fundador de lanzamiento: $100 MXN mensuales.

Sin comisiones por pedido. Sin apps. Tu escaparate, tu WhatsApp, tu marca.

Cupo fundador abierto. Escríbenos por WhatsApp.

#StreetBoss #PrecioFundador #Restaurantes #VendeDirecto",Cupo fundador abierto. Escríbenos por WhatsApp.,#StreetBoss #PrecioFundador #Restaurantes #VendeDirecto,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre ¿Comisión por venta? Cero. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/commercial/T13-founder-price.md,day-28_comision-por-venta-cero_commercial.png,06-posts/month-01/,PENDIENTE,NO APROBADO,19:00,"Adaptar hook/duración por plataforma: Facebook, LinkedIn."
29,2026-08-24,5,Fase 1: Posicionamiento · Problema · Educación,Instagram,"TikTok, Facebook, YouTube Short",Reel/Short,Control del negocio,Agitar el dolor y generar identificación.,TOFU (Atención),No sabes quién es tu cliente,"En las apps, tu cliente es de la app. Sin datos no hay recompra dirigida.","Vendes 1,000 pedidos al mes y no tienes ni un solo contacto",¿De quién son tus clientes?,[T01-pain] ¿De quién son tus clientes?,"Vendes 1,000 pedidos al mes y no tienes ni un solo contacto

En las apps, tu cliente es de la app. Sin datos no hay recompra dirigida.

Con StreetBoss tu menú se vuelve un escaparate: el cliente arma su pedido y te cae ordenado al WhatsApp. Vende directo. Manda tú.

Comenta “DIRECTO” y te mandamos cómo se ve tu menú.

#StreetBoss #VendeDirecto #Restaurantes",Comenta “DIRECTO” y te mandamos cómo se ve tu menú.,#StreetBoss #VendeDirecto #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Escena editorial que ilustra el dolor operativo de un restaurante: No sabes quién es tu cliente. Ambiente de cocina/mostrador real, luz tensa, tonos oscuros, sensación de saturación y desorden. Enfoque en manos y objetos (teléfono, tickets, comandas), sin rostros. Espacio negativo para texto. Sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.","Cámara nerviosa handheld, cortes rápidos que transmiten saturación; whip-pan entre teléfono y cocina; resolución de tensión al aparecer el escaparate ordenado.",04-social-templates/pain/T01-pain.md,day-29_no-sabes-quien-es-tu-cliente_pain.png,07-reels/month-01/,PENDIENTE,NO APROBADO,13:30,"Adaptar hook/duración por plataforma: TikTok, Facebook, YouTube Short."
30,2026-08-25,5,Fase 1: Posicionamiento · Problema · Educación,Instagram,"LinkedIn Document, Facebook",Carrusel,Educación gastronómica,Educar y posicionar la categoría. Guardados y autoridad.,MOFU (Interés/Demostración),Qué es un escaparate digital,Definir la categoría y por qué vende más.,No es un menú QR: es una vitrina que transacciona,Escaparate ≠ menú QR,[T07-carousel-edu] Escaparate ≠ menú QR,"No es un menú QR: es una vitrina que transacciona

Guárdalo para tu negocio de comida.

Definir la categoría y por qué vende más.

En StreetBoss convertimos tu menú en un escaparate que vende directo, sin comisiones.

Guarda esto y compártelo con ese restaurante que lo necesita.

#StreetBoss #MarketingGastronomico #Restaurantes #VentaDirecta",Guarda esto y compártelo con ese restaurante que lo necesita.,#StreetBoss #MarketingGastronomico #Restaurantes #VentaDirecta,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre Qué es un escaparate digital. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/carousel/T07-carousel-edu.md,day-30_que-es-un-escaparate-digital_carousel.png,06-posts/month-01/,PENDIENTE,NO APROBADO,12:00,"Adaptar hook/duración por plataforma: LinkedIn Document, Facebook."
31,2026-08-26,5,Fase 2: Demostración · Autoridad · Producto · Diferenciación,Instagram,"TikTok, YouTube Short",Reel/Short,Producto,Demostrar fricción cero y capacidades reales del escaparate.,MOFU (Interés/Demostración),Agotar un platillo en 1 toque,Actualizas disponibilidad al instante. Sin pedidos imposibles.,Se acabó el pastor: 1 toque y desaparece del menú,Control en tiempo real,[T05-product] Control en tiempo real,"Se acabó el pastor: 1 toque y desaparece del menú

Actualizas disponibilidad al instante. Sin pedidos imposibles.

Así de simple: tu comida bien mostrada y el pedido perfecto en tu WhatsApp. Sin comisiones, sin apps que descargar.

Pídenos una demo por WhatsApp. Sin compromiso.

#StreetBoss #VendeDirecto #Restaurantes",Pídenos una demo por WhatsApp. Sin compromiso.,#StreetBoss #VendeDirecto #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Screen capture real del escaparate · Tipografía Poppins/Inter,"Mockup 3D hiperrealista de un celular mostrando un escaparate digital de restaurante (interfaz oscura, tarjetas de producto con foto grande y botón naranja), sostenido por una mano sobre una mesa de restaurante con ingredientes desenfocados al fondo (bokeh). Iluminación de estudio dramática, fondo oscuro. Concepto: Agotar un platillo en 1 toque. Sin logo (se integra después). Proporciones de UI precisas y legibles. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",Screen-capture real de la interfaz + planos B-roll de la mano tocando la pantalla. Movimiento de seguimiento suave del dedo (tap → agregar → enviar). Zoom sutil al ticket de WhatsApp. Cortes rápidos al beat.,04-social-templates/product/T05-product.md,day-31_agotar-un-platillo-en-1-toque_product.png,07-reels/month-02/,PENDIENTE,NO APROBADO,14:00,"Adaptar hook/duración por plataforma: TikTok, YouTube Short."
32,2026-08-27,5,Fase 2: Demostración · Autoridad · Producto · Diferenciación,Instagram,Facebook,Post gráfico,Comparativas,Diferenciar con datos y comparativas claras.,MOFU (Interés/Demostración),App vs. Link directo,Comparativa de soberanía del cliente.,App: cliente de la app. Link: cliente tuyo.,¿De quién es tu cliente?,[T08-data] ¿De quién es tu cliente?,"App: cliente de la app. Link: cliente tuyo.

Comparativa de soberanía del cliente.

StreetBoss: la plataforma visual de venta directa para restaurantes.

Escríbenos por WhatsApp y arma tu escaparate.

#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida",Escríbenos por WhatsApp y arma tu escaparate.,#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre App vs. Link directo. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/data/T08-data.md,day-32_app-vs-link-directo_data.png,06-posts/month-02/,PENDIENTE,NO APROBADO,18:30,Adaptar hook/duración por plataforma: Facebook.
33,2026-08-28,5,Fase 2: Demostración · Autoridad · Producto · Diferenciación,Instagram,"TikTok, YouTube Short",Reel/Short,Fotografía gastronómica,Deseo/branding aspiracional (FoodPorn). Alcance y recordación.,TOFU (Atención),Café y pan recién horneado,"Ambiente cálido, vapor, textura de pan.",El vapor del café y el pan saliendo del horno,Tu mañana empieza aquí,[T06-foodporn] Tu mañana empieza aquí,"El vapor del café y el pan saliendo del horno

Así se ve tu menú antes de que lleguen. Tu café y concha merece una vitrina, no una lista.

Escaparate digital + pedido directo a tu WhatsApp.

El link de tu escaparate va en tu bio. Nosotros te lo armamos.

#StreetBoss #FoodPorn #ComidaMexicana #Antojo #Restaurantes",El link de tu escaparate va en tu bio. Nosotros te lo armamos.,#StreetBoss #FoodPorn #ComidaMexicana #Antojo #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fotografía hiperrealista de producto gastronómico de alta gama: café y concha. Estilo Food Porn premium. Luz dura moody que resalte texturas, brillo de la grasa y volumen. Fondo oscuro con textura de madera clara oscurecida. Colores saturados del espectro del apetito. Macro/close-up, lente 85mm, calidad cinematográfica. Sin logo, sin texto. Manos permitidas, sin rostros. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.","Cámara lenta cinematográfica (slow motion). Movimiento de push-in macro hacia la textura; vapor/goteo natural; ligero parallax. 24-30fps, transiciones por match-cut de textura.",04-social-templates/foodporn/T06-foodporn.md,day-33_cafe-y-pan-recien-horneado_foodporn.png,07-reels/month-02/,PENDIENTE,NO APROBADO,14:00,"Adaptar hook/duración por plataforma: TikTok, YouTube Short."
34,2026-08-29,5,Fase 2: Demostración · Autoridad · Producto · Diferenciación,Instagram,Facebook,Post gráfico,Cultura StreetBoss,"Construir marca, comunidad y pertenencia.",TOFU (Atención),El orden crece,Mensaje nuclear #2.,El orden en tus pedidos es el primer paso hacia el crecimiento,Orden = crecimiento,[T10-culture] Orden = crecimiento,"El orden en tus pedidos es el primer paso hacia el crecimiento

Mensaje nuclear #2.

StreetBoss existe para que tu restaurante venda bajo sus propias reglas.

Síguenos para vender directo y mandar tú.

#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida",Síguenos para vender directo y mandar tú.,#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre El orden crece. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/brand/T10-culture.md,day-34_el-orden-crece_culture.png,06-posts/month-02/,PENDIENTE,NO APROBADO,11:00,Adaptar hook/duración por plataforma: Facebook.
35,2026-08-30,5,Fase 2: Demostración · Autoridad · Producto · Diferenciación,Instagram,"Facebook, LinkedIn",Post gráfico,Precio fundador,Convertir: activar cupo fundador y resolver objeciones.,BOFU (Conversión),Ya uso Rappi/UberEats,Objeción: coexistir con apps y recuperar al recurrente.,"Perfecto para clientes nuevos. Al recurrente, dale tu link.","Combina, no regales margen","[T13-founder-price] Combina, no regales margen","Perfecto para clientes nuevos. Al recurrente, dale tu link.

Se buscan restaurantes y negocios de comida que quieran probar su escaparate digital con precio fundador de lanzamiento: $100 MXN mensuales.

Sin comisiones por pedido. Sin apps. Tu escaparate, tu WhatsApp, tu marca.

Cupo fundador abierto. Escríbenos por WhatsApp.

#StreetBoss #PrecioFundador #Restaurantes #VendeDirecto",Cupo fundador abierto. Escríbenos por WhatsApp.,#StreetBoss #PrecioFundador #Restaurantes #VendeDirecto,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre Ya uso Rappi/UberEats. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/commercial/T13-founder-price.md,day-35_ya-uso-rappi-ubereats_commercial.png,06-posts/month-02/,PENDIENTE,NO APROBADO,19:00,"Adaptar hook/duración por plataforma: Facebook, LinkedIn."
36,2026-08-31,6,Fase 2: Demostración · Autoridad · Producto · Diferenciación,Instagram,"TikTok, Facebook, YouTube Short",Reel/Short,Control del negocio,Agitar el dolor y generar identificación.,TOFU (Atención),Depender del algoritmo,Depender de un agregador = depender de su algoritmo y sus reglas.,"Hoy te muestran, mañana no. Tú no decides.",No mandas en tu negocio,[T01-pain] No mandas en tu negocio,"Hoy te muestran, mañana no. Tú no decides.

Depender de un agregador = depender de su algoritmo y sus reglas.

Con StreetBoss tu menú se vuelve un escaparate: el cliente arma su pedido y te cae ordenado al WhatsApp. Vende directo. Manda tú.

Comenta “DIRECTO” y te mandamos cómo se ve tu menú.

#StreetBoss #VendeDirecto #Restaurantes",Comenta “DIRECTO” y te mandamos cómo se ve tu menú.,#StreetBoss #VendeDirecto #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Escena editorial que ilustra el dolor operativo de un restaurante: Depender del algoritmo. Ambiente de cocina/mostrador real, luz tensa, tonos oscuros, sensación de saturación y desorden. Enfoque en manos y objetos (teléfono, tickets, comandas), sin rostros. Espacio negativo para texto. Sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.","Cámara nerviosa handheld, cortes rápidos que transmiten saturación; whip-pan entre teléfono y cocina; resolución de tensión al aparecer el escaparate ordenado.",04-social-templates/pain/T01-pain.md,day-36_depender-del-algoritmo_pain.png,07-reels/month-02/,PENDIENTE,NO APROBADO,13:30,"Adaptar hook/duración por plataforma: TikTok, Facebook, YouTube Short."
37,2026-09-01,6,Fase 2: Demostración · Autoridad · Producto · Diferenciación,Instagram,"LinkedIn Document, Facebook",Carrusel,Educación gastronómica,Educar y posicionar la categoría. Guardados y autoridad.,MOFU (Interés/Demostración),El costo real de las comisiones,Ejercicio ilustrativo de margen perdido (CASO ILUSTRATIVO).,Cuánto pierdes al año regalando 30% por pedido,Haz las cuentas,[T07-carousel-edu] Haz las cuentas,"Cuánto pierdes al año regalando 30% por pedido

Guárdalo para tu negocio de comida.

Ejercicio ilustrativo de margen perdido (CASO ILUSTRATIVO).

En StreetBoss convertimos tu menú en un escaparate que vende directo, sin comisiones.

Guarda esto y compártelo con ese restaurante que lo necesita.

#StreetBoss #MarketingGastronomico #Restaurantes #VentaDirecta",Guarda esto y compártelo con ese restaurante que lo necesita.,#StreetBoss #MarketingGastronomico #Restaurantes #VentaDirecta,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre El costo real de las comisiones. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/carousel/T07-carousel-edu.md,day-37_el-costo-real-de-las-comisiones_carousel.png,06-posts/month-02/,PENDIENTE,NO APROBADO,12:00,"Adaptar hook/duración por plataforma: LinkedIn Document, Facebook."
38,2026-09-02,6,Fase 2: Demostración · Autoridad · Producto · Diferenciación,Instagram,"TikTok, YouTube Short",Reel/Short,Producto,Demostrar fricción cero y capacidades reales del escaparate.,MOFU (Interés/Demostración),Carrito flotante siempre visible,El carrito flotante muestra el subtotal en cada paso.,El cliente ve su total todo el tiempo. Cero sorpresas.,Transparencia total,[T05-product] Transparencia total,"El cliente ve su total todo el tiempo. Cero sorpresas.

El carrito flotante muestra el subtotal en cada paso.

Así de simple: tu comida bien mostrada y el pedido perfecto en tu WhatsApp. Sin comisiones, sin apps que descargar.

Pídenos una demo por WhatsApp. Sin compromiso.

#StreetBoss #VendeDirecto #Restaurantes",Pídenos una demo por WhatsApp. Sin compromiso.,#StreetBoss #VendeDirecto #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Screen capture real del escaparate · Tipografía Poppins/Inter,"Mockup 3D hiperrealista de un celular mostrando un escaparate digital de restaurante (interfaz oscura, tarjetas de producto con foto grande y botón naranja), sostenido por una mano sobre una mesa de restaurante con ingredientes desenfocados al fondo (bokeh). Iluminación de estudio dramática, fondo oscuro. Concepto: Carrito flotante siempre visible. Sin logo (se integra después). Proporciones de UI precisas y legibles. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",Screen-capture real de la interfaz + planos B-roll de la mano tocando la pantalla. Movimiento de seguimiento suave del dedo (tap → agregar → enviar). Zoom sutil al ticket de WhatsApp. Cortes rápidos al beat.,04-social-templates/product/T05-product.md,day-38_carrito-flotante-siempre-visible_product.png,07-reels/month-02/,PENDIENTE,NO APROBADO,14:00,"Adaptar hook/duración por plataforma: TikTok, YouTube Short."
39,2026-09-03,6,Fase 2: Demostración · Autoridad · Producto · Diferenciación,Instagram,Facebook,Post gráfico,Comparativas,Diferenciar con datos y comparativas claras.,MOFU (Interés/Demostración),PDF vs. Escaparate,Comparativa de experiencia de pedido.,PDF: escribe a mano. Escaparate: arma el pedido solo.,Adiós al PDF,[T08-data] Adiós al PDF,"PDF: escribe a mano. Escaparate: arma el pedido solo.

Comparativa de experiencia de pedido.

StreetBoss: la plataforma visual de venta directa para restaurantes.

Escríbenos por WhatsApp y arma tu escaparate.

#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida",Escríbenos por WhatsApp y arma tu escaparate.,#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre PDF vs. Escaparate. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/data/T08-data.md,day-39_pdf-vs-escaparate_data.png,06-posts/month-02/,PENDIENTE,NO APROBADO,18:30,Adaptar hook/duración por plataforma: Facebook.
40,2026-09-04,6,Fase 2: Demostración · Autoridad · Producto · Diferenciación,Instagram,"TikTok, YouTube Short",Reel/Short,Fotografía gastronómica,Deseo/branding aspiracional (FoodPorn). Alcance y recordación.,TOFU (Atención),Alitas bañadas en salsa,"Brillo de salsa, textura crujiente.",Las alitas girando bañadas en salsa buffalo,Picante que se ve,[T06-foodporn] Picante que se ve,"Las alitas girando bañadas en salsa buffalo

Así se ve tu menú antes de que lleguen. Tu alitas buffalo merece una vitrina, no una lista.

Escaparate digital + pedido directo a tu WhatsApp.

El link de tu escaparate va en tu bio. Nosotros te lo armamos.

#StreetBoss #FoodPorn #ComidaMexicana #Antojo #Restaurantes",El link de tu escaparate va en tu bio. Nosotros te lo armamos.,#StreetBoss #FoodPorn #ComidaMexicana #Antojo #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fotografía hiperrealista de producto gastronómico de alta gama: alitas buffalo. Estilo Food Porn premium. Luz dura moody que resalte texturas, brillo de la grasa y volumen. Fondo oscuro con textura de canasta y papel kraft. Colores saturados del espectro del apetito. Macro/close-up, lente 85mm, calidad cinematográfica. Sin logo, sin texto. Manos permitidas, sin rostros. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.","Cámara lenta cinematográfica (slow motion). Movimiento de push-in macro hacia la textura; vapor/goteo natural; ligero parallax. 24-30fps, transiciones por match-cut de textura.",04-social-templates/foodporn/T06-foodporn.md,day-40_alitas-banadas-en-salsa_foodporn.png,07-reels/month-02/,PENDIENTE,NO APROBADO,14:00,"Adaptar hook/duración por plataforma: TikTok, YouTube Short."
41,2026-09-05,6,Fase 2: Demostración · Autoridad · Producto · Diferenciación,Instagram,Facebook,Post gráfico,Cultura StreetBoss,"Construir marca, comunidad y pertenencia.",TOFU (Atención),Hecho para la calle,"Cultura StreetBoss: raíces callejeras, ambición global.",De la cocina de barrio a la vitrina digital,Con orgullo de barrio,[T10-culture] Con orgullo de barrio,"De la cocina de barrio a la vitrina digital

Cultura StreetBoss: raíces callejeras, ambición global.

StreetBoss existe para que tu restaurante venda bajo sus propias reglas.

Síguenos para vender directo y mandar tú.

#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida",Síguenos para vender directo y mandar tú.,#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre Hecho para la calle. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/brand/T10-culture.md,day-41_hecho-para-la-calle_culture.png,06-posts/month-02/,PENDIENTE,NO APROBADO,11:00,Adaptar hook/duración por plataforma: Facebook.
42,2026-09-06,6,Fase 2: Demostración · Autoridad · Producto · Diferenciación,Instagram,"Facebook, LinkedIn",Post gráfico,Precio fundador,Convertir: activar cupo fundador y resolver objeciones.,BOFU (Conversión),Ya tengo menú en PDF,Objeción: PDF vs. escaparate transaccional.,El PDF hace que el cliente trabaje. StreetBoss arma el pedido.,Deja el PDF,[T13-founder-price] Deja el PDF,"El PDF hace que el cliente trabaje. StreetBoss arma el pedido.

Se buscan restaurantes y negocios de comida que quieran probar su escaparate digital con precio fundador de lanzamiento: $100 MXN mensuales.

Sin comisiones por pedido. Sin apps. Tu escaparate, tu WhatsApp, tu marca.

Cupo fundador abierto. Escríbenos por WhatsApp.

#StreetBoss #PrecioFundador #Restaurantes #VendeDirecto",Cupo fundador abierto. Escríbenos por WhatsApp.,#StreetBoss #PrecioFundador #Restaurantes #VendeDirecto,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre Ya tengo menú en PDF. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/commercial/T13-founder-price.md,day-42_ya-tengo-menu-en-pdf_commercial.png,06-posts/month-02/,PENDIENTE,NO APROBADO,19:00,"Adaptar hook/duración por plataforma: Facebook, LinkedIn."
